"participantid","ppt_included","block","trialnumber_withinblock","shape","location_deviant","deviant_type","orientation","validtrial","sumvalidtrials_overall","proponscreen_shapes_on_1","proponscreen_shapes_on_2","shape_w_duck_car","gaze_topright_2","gaze_bottomleft_3","gaze_bottomright_4","gaze_centre","gaze_onscreen_elsewhere","gaze_nogaze","gaze_topleft_1","gaze_offscreen","total_dwell_shapes","total_dwell_deviant","prop_look_dev"
127,1,1,1,"square",3,2,355,1,8,0.754237288135593,0.991666666666667,"square",34,69,2,9,56,26,38,4,143,69,0.482517482517482
127,1,1,2,"isosceles_triangle",4,2,325,1,8,1,0.555555555555556,"isosceles_triangle",68,60,0,52,4,49,0,3,128,0,0
127,1,1,3,"pentagon",1,2,355,1,8,1,0.925,"pentagon",69,2,0,83,4,4,72,5,143,72,0.503496503496504
127,1,1,4,"object",3,2,325,1,8,0.983193277310924,1,"car",64,167,0,5,1,2,0,0,231,167,0.722943722943723
127,1,1,5,"equilateral_triangle",3,2,355,1,8,0.932773109243697,0.793388429752066,"equilateral_triangle",61,19,1,42,84,10,0,23,81,19,0.234567901234568
127,1,1,6,"rhombus",4,2,325,1,8,0.754237288135593,0.558333333333333,"rhombus",2,22,2,31,36,34,63,48,89,2,0.0224719101123595
127,1,2,1,"square",4,1,325,0,8,0.957746478873239,0.591666666666667,"square",110,0,35,3,59,47,0,8,145,35,0.241379310344828
127,1,2,2,"isosceles_triangle",3,1,355,0,8,0.0593220338983051,0,"isosceles_triangle",0,0,0,7,0,231,0,0,0,0,NA
127,1,2,3,"pentagon",2,1,325,0,8,0.278260869565217,0.209677419354839,"pentagon",0,26,30,2,0,51,0,130,56,0,0
127,1,2,4,"object",2,1,355,1,8,1,1,"duck",52,95,0,8,13,0,72,0,219,52,0.237442922374429
127,1,2,5,"equilateral_triangle",4,1,325,0,8,0.00840336134453781,0.391666666666667,"equilateral_triangle",0,0,47,1,0,117,0,74,47,47,1
127,1,2,6,"rhombus",3,1,355,0,8,0.26890756302521,0,"rhombus",0,29,0,3,0,79,0,127,29,29,1
127,1,3,1,"square",1,2,5,0,8,0.846153846153846,0.325,"square",21,39,1,30,21,18,26,81,87,26,0.298850574712644
127,1,3,2,"isosceles_triangle",2,2,25,0,8,0.411764705882353,0,"isosceles_triangle",0,0,1,9,39,82,0,107,1,0,0
127,1,3,3,"pentagon",3,2,5,0,8,0.899159663865546,0.17741935483871,"pentagon",29,26,22,30,22,48,0,66,77,26,0.337662337662338
127,1,3,4,"object",0,2,25,0,8,1,0.933333333333333,"duck",10,128,0,21,2,0,70,8,208,NA,NA
127,1,3,5,"equilateral_triangle",1,2,5,0,8,0.65546218487395,0,"equilateral_triangle",0,50,0,22,6,123,0,35,50,0,0
127,1,3,6,"rhombus",2,2,25,0,8,0.271186440677966,0,"rhombus",0,1,0,30,1,206,0,1,1,0,0
127,1,4,1,"square",2,1,25,0,8,0.983193277310924,0,"square",0,12,22,35,4,118,44,1,78,0,0
127,1,4,2,"isosceles_triangle",1,1,5,0,8,0.71304347826087,0.302521008403361,"isosceles_triangle",0,0,1,26,48,116,43,0,44,43,0.977272727272727
127,1,4,3,"pentagon",4,1,25,1,8,0.865546218487395,0.613445378151261,"pentagon",57,77,0,30,12,51,0,11,134,0,0
127,1,4,4,"object",4,1,5,0,8,0.235294117647059,0.533333333333333,"car",33,49,0,3,7,147,0,0,82,0,0
127,1,4,5,"equilateral_triangle",1,1,25,0,8,0,0.0245901639344262,"equilateral_triangle",3,0,0,0,0,239,0,0,3,0,0
127,1,4,6,"rhombus",3,1,5,0,8,0,0,"rhombus",0,0,0,0,0,161,0,44,0,0,NA
128,1,1,1,"pentagon",2,2,325,0,16,1,1,"pentagon",0,57,42,15,8,0,157,0,256,0,0
128,1,1,2,"square",4,2,355,1,16,0.764705882352941,0.966666666666667,"square",3,95,0,15,20,4,74,28,172,0,0
128,1,1,3,"object",4,2,325,1,16,0.983193277310924,1,"duck",0,123,35,7,5,2,67,0,225,35,0.155555555555556
128,1,1,4,"equilateral_triangle",1,2,355,1,16,0.966386554621849,0.816666666666667,"equilateral_triangle",2,65,0,7,26,4,113,22,180,113,0.627777777777778
128,1,1,5,"rhombus",2,2,325,1,16,1,0.669421487603306,"rhombus",3,74,0,7,45,0,71,40,148,3,0.0202702702702703
128,1,1,6,"isosceles_triangle",4,2,355,1,16,0.672268907563025,0.983333333333333,"isosceles_triangle",0,108,0,6,4,2,80,39,188,0,0
128,1,2,1,"pentagon",3,1,5,1,16,0.857142857142857,1,"pentagon",0,94,43,12,4,0,69,17,206,94,0.456310679611651
128,1,2,2,"square",1,1,25,1,16,1,1,"square",0,78,52,6,2,0,101,0,231,101,0.437229437229437
128,1,2,3,"object",0,1,5,0,16,1,1,"car",0,66,56,7,6,0,104,0,226,NA,NA
128,1,2,4,"equilateral_triangle",2,1,25,0,16,0.369747899159664,0.495798319327731,"equilateral_triangle",0,94,0,8,1,123,0,12,94,0,0
128,1,2,5,"rhombus",3,1,5,0,16,0.378151260504202,0.825,"rhombus",30,37,43,6,28,22,0,73,110,37,0.336363636363636
128,1,2,6,"isosceles_triangle",1,1,25,0,16,0.466666666666667,0.613445378151261,"isosceles_triangle",20,74,0,15,19,48,1,62,95,1,0.0105263157894737
128,1,3,1,"pentagon",4,2,25,1,16,0.815126050420168,0.859504132231405,"pentagon",46,63,39,6,28,39,19,0,167,39,0.233532934131737
128,1,3,2,"square",2,2,5,1,16,0.781512605042017,0.716666666666667,"square",41,51,40,10,19,42,18,18,150,41,0.273333333333333
128,1,3,3,"object",2,2,25,1,16,0.781512605042017,0.833333333333333,"duck",0,116,2,7,8,46,60,0,178,0,0
128,1,3,4,"equilateral_triangle",3,2,5,0,16,0.848739495798319,0.816666666666667,"equilateral_triangle",41,52,27,9,9,40,61,0,181,52,0.287292817679558
128,1,3,5,"rhombus",4,2,25,1,16,0.789915966386555,0.783333333333333,"rhombus",38,17,67,10,17,51,39,0,161,67,0.416149068322981
